subject_type,subject_id,confirmed_risk_type,confirmed_risk_status,source_file,source_label,source_bad_type,source_as_of,ingested_at
customer,1017757185301023,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017765024911103,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017486690931129,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017654421151011,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017652857791103,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017178396381002,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017419187151126,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017725171661004,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016981382281011,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017331261741102,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016879212341008,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017527399521122,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017361361151021,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017401051331117,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016759495191104,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017000209121105,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017425318851114,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017426408291112,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017400404981102,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017364652911023,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017363363651114,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017128234271123,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017156805161001,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016957809351100,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016945993191028,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,482986,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,660918,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016959045231111,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017485026361103,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,侵权,截止20260605,2026-06-12T09:35:03.778520Z
customer,24476,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017132338001127,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017435217881022,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017338844611016,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017506649251115,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017581613091011,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017581617241002,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017410693831026,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017516086351112,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016796420841103,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,180843,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017498900751024,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,外部风险，雅虎乐天，未透露详情,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017498074801027,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,外部风险，雅虎乐天，未透露详情,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016981159821105,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016988903491028,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017363322581015,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016932775721003,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017494594211006,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017485040691106,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017490933721100,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017309594931000,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017471468931114,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017486024471100,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017325034281111,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017472331941020,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017400326171025,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017067117301124,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,外部风险，COD，未透露详情,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017084863891008,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016957806881128,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017337271261027,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017338138361119,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017286254961011,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017283710891020,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017283732531109,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017283722281121,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017288874761021,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017338128101026,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,892464,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017302753981007,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017287166651027,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016957868051122,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017113684631104,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017116119001106,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017144603561006,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016667748561108,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017331291371100,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017684126861019,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017295663431129,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1016868826831009,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017581620951111,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017627826111023,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017362515441108,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017536719531117,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017558581811029,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017502986351022,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017520268621011,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017409673921028,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017504007091003,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,欺诈客户,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017446015691126,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017575563041122,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017443821741011,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017362364371010,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017430716961120,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,银行拉黑,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017434661051008,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017549023891113,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
customer,1017428933421017,bad_customer,confirmed,坏人特征库名单_截止20260605.xlsx,确认坏人,未知,截止20260605,2026-06-12T09:35:03.778520Z
